k,lamda,x3,y3,"kP = (x3, y3)"
2,750,1,376,"(1, 376)"
3,0,750,375,"(750, 375)"
4,1,2,373,"(2, 373)"
5,374,188,657,"(188, 657)"
6,373,6,390,"(6, 390)"
7,503,667,571,"(667, 571)"
8,400,121,39,"(121, 39)"
9,171,582,736,"(582, 736)"
10,620,57,332,"(57, 332)"
11,658,331,367,"(331, 367)"
12,574,207,215,"(207, 215)"
13,333,285,96,"(285, 96)"
14,223,629,545,"(629, 545)"
15,251,39,349,"(39, 349)"
16,577,197,107,"(197, 107)"
17,113,556,631,"(556, 631)"
18,172,490,207,"(490, 207)"
19,274,237,23,"(237, 23)"
20,233,731,529,"(731, 529)"
21,105,531,194,"(531, 194)"
22,745,256,409,"(256, 409)"
23,50,742,74,"(742, 74)"
24,117,180,343,"(180, 343)"
25,513,139,413,"(139, 413)"
26,627,217,247,"(217, 247)"
27,477,510,429,"(510, 429)"
28,408,734,552,"(734, 552)"
29,78,93,631,"(93, 631)"
30,245,603,587,"(603, 587)"
31,369,378,579,"(378, 579)"
32,682,628,149,"(628, 149)"
33,704,79,333,"(79, 333)"
34,66,522,469,"(522, 469)"
35,462,389,146,"(389, 146)"
36,428,302,291,"(302, 291)"
37,604,279,83,"(279, 83)"
38,505,157,696,"(157, 696)"
39,533,54,131,"(54, 131)"
40,65,416,371,"(416, 371)"
41,482,600,310,"(600, 310)"
42,458,386,72,"(386, 72)"
43,579,660,494,"(660, 494)"
44,139,637,450,"(637, 450)"
45,724,92,606,"(92, 606)"
46,378,102,120,"(102, 120)"
47,292,299,183,"(299, 183)"
48,567,513,141,"(513, 141)"
49,326,623,47,"(623, 47)"
50,337,296,506,"(296, 506)"
51,107,639,343,"(639, 343)"
52,7,161,750,"(161, 750)"
53,730,280,247,"(280, 247)"
54,426,205,161,"(205, 161)"
55,695,678,42,"(678, 42)"
56,735,329,382,"(329, 382)"
57,121,43,429,"(43, 429)"
58,368,201,5,"(201, 5)"
59,723,583,177,"(583, 177)"
60,104,470,310,"(470, 310)"
61,345,648,613,"(648, 613)"
62,581,465,570,"(465, 570)"
63,535,380,596,"(380, 596)"
64,633,26,439,"(26, 439)"
65,609,612,163,"(612, 163)"
66,504,317,570,"(317, 570)"
67,446,335,414,"(335, 414)"
68,509,402,29,"(402, 29)"
69,412,367,122,"(367, 122)"
70,560,66,214,"(66, 214)"
71,612,480,256,"(480, 256)"
72,563,318,79,"(318, 79)"
73,77,354,153,"(354, 153)"
74,447,440,457,"(440, 457)"
75,630,683,408,"(683, 408)"
76,618,484,161,"(484, 161)"
77,88,501,596,"(501, 596)"
78,660,270,162,"(270, 162)"
79,511,254,504,"(254, 504)"
80,308,735,46,"(735, 46)"
81,490,547,452,"(547, 452)"
82,677,423,135,"(423, 135)"
83,406,695,581,"(695, 581)"
84,573,198,322,"(198, 322)"
85,68,671,558,"(671, 558)"
86,392,540,477,"(540, 477)"
87,569,291,16,"(291, 16)"
88,262,12,235,"(12, 235)"
89,176,173,718,"(173, 718)"
90,15,52,346,"(52, 346)"
